iter	Passed	Remaining
0	75	45361
1	111	33274
2	146	29154
3	187	27985
4	226	26898
5	263	26112
6	305	25844
7	346	25641
8	394	25877
9	439	25932
10	489	26207
11	532	26091
12	578	26138
13	625	26188
14	666	26004
15	725	26475
16	761	26123
17	807	26110
18	858	26240
19	904	26231
20	939	25906
21	979	25723
22	1022	25641
23	1060	25449
24	1108	25505
25	1152	25436
26	1193	25323
27	1241	25368
28	1289	25381
29	1339	25454
30	1376	25262
31	1413	25095
32	1475	25353
33	1511	25166
34	1547	24980
35	1593	24962
36	1631	24824
37	1676	24789
38	1714	24669
39	1760	24644
40	1797	24508
41	1833	24363
42	1879	24348
43	1913	24183
44	1945	23997
45	1977	23810
46	2008	23636
47	2039	23451
48	2072	23310
49	2106	23171
50	2140	23041
51	2173	22908
52	2207	22780
53	2241	22661
54	2274	22539
55	2309	22432
56	2344	22336
57	2379	22235
58	2412	22125
59	2488	22393
60	2559	22620
61	2609	22640
62	2655	22635
63	2706	22669
64	2746	22605
65	2809	22733
66	2870	22836
67	2953	23103
68	3010	23166
69	3053	23116
70	3101	23108
71	3155	23139
72	3196	23075
73	3268	23233
74	3310	23172
75	3357	23150
76	3401	23105
77	3452	23106
78	3499	23078
79	3569	23200
80	3624	23222
81	3678	23239
82	3721	23181
83	3768	23149
84	3823	23167
85	3862	23085
86	3894	22961
87	3938	22915
88	3980	22854
89	4031	22845
90	4083	22840
91	4125	22779
92	4168	22727
93	4218	22708
94	4263	22663
95	4308	22620
96	4351	22564
97	4398	22530
98	4444	22491
99	4482	22414
100	4527	22368
101	4561	22269
102	4599	22194
103	4657	22212
104	4697	22147
105	4742	22100
106	4790	22073
107	4830	22006
108	4876	21965
109	4914	21890
110	4957	21837
111	4997	21776
112	5042	21730
113	5080	21657
114	5123	21606
115	5164	21550
116	5251	21679
117	5419	22137
118	5464	22085
119	5500	22002
120	5570	22053
121	5617	22007
122	5659	21947
123	5701	21885
124	5742	21821
125	5787	21770
126	5832	21721
127	5870	21646
128	5917	21607
129	5959	21546
130	6007	21509
131	6047	21442
132	6087	21374
133	6131	21321
134	6170	21252
135	6207	21179
136	6241	21093
137	6283	21036
138	6314	20941
139	6353	20874
140	6416	20888
141	6475	20887
142	6532	20875
143	6582	20845
144	6635	20820
145	6700	20836
146	6748	20795
147	6784	20720
148	6828	20669
149	6881	20643
150	6931	20610
151	6980	20572
152	7040	20568
153	7102	20570
154	7154	20540
155	7197	20485
156	7239	20428
157	7278	20362
158	7331	20335
159	7401	20353
160	7475	20383
161	7542	20391
162	7598	20370
163	7657	20357
164	7727	20373
165	7797	20386
166	7879	20431
167	7965	20481
168	8026	20470
169	8094	20474
170	8170	20497
171	8247	20524
172	8318	20532
173	8403	20573
174	8492	20624
175	8553	20606
176	8608	20572
177	8671	20558
178	8741	20558
179	8803	20540
180	8856	20502
181	8899	20440
182	8954	20405
183	9008	20367
184	9075	20357
185	9125	20310
186	9171	20255
187	9220	20207
188	9277	20174
189	9322	20116
190	9372	20069
191	9421	20019
192	9487	20008
193	9555	19996
194	9617	19974
195	9687	19968
196	9752	19950
197	9819	19937
198	9871	19891
199	9935	19871
200	9979	19810
201	10030	19762
202	10077	19707
203	10121	19647
204	10170	19595
205	10219	19545
206	10267	19493
207	10314	19439
208	10366	19394
209	10427	19366
210	10482	19326
211	10534	19280
212	10593	19247
213	10661	19230
214	10718	19194
215	10781	19167
216	10844	19140
217	10907	19113
218	10976	19096
219	11026	19044
220	11077	18997
221	11116	18928
222	11158	18864
223	11206	18810
224	11253	18755
225	11295	18692
226	11343	18639
227	11394	18591
228	11429	18516
229	11471	18454
230	11509	18385
231	11555	18328
232	11592	18260
233	11636	18200
234	11674	18132
235	11709	18060
236	11745	17989
237	11786	17926
238	11823	17858
239	11859	17789
240	11903	17732
241	11977	17718
242	12042	17692
243	12111	17671
244	12187	17658
245	12253	17633
246	12360	17664
247	12505	17749
248	12656	17840
249	12768	17875
250	12888	17920
251	13081	18064
252	13328	18280
253	13590	18513
254	13893	18797
255	14076	18915
256	14166	18906
257	14391	19076
258	14492	19080
259	14612	19109
260	14675	19061
261	14755	19035
262	14841	19017
263	14924	18994
264	15010	18975
265	15101	18961
266	15171	18922
267	15252	18894
268	15321	18852
269	15399	18821
270	15472	18783
271	15557	18760
272	15622	18712
273	15696	18675
274	15772	18640
275	15822	18573
276	15885	18523
277	15984	18514
278	16053	18470
279	16138	18444
280	16191	18381
281	16262	18338
282	16343	18307
283	16393	18240
284	16444	18175
285	16494	18109
286	16572	18074
287	16635	18022
288	16722	17995
289	16790	17948
290	16852	17895
291	16922	17850
292	16989	17801
293	17041	17736
294	17127	17708
295	17189	17653
296	17253	17601
297	17325	17558
298	17402	17519
299	17468	17468
300	17521	17405
301	17593	17360
302	17672	17322
303	17740	17273
304	17824	17239
305	17898	17196
306	17970	17150
307	18030	17093
308	18117	17062
309	18186	17012
310	18238	16948
311	18305	16897
312	18365	16839
313	18417	16775
314	18513	16750
315	18577	16695
316	18630	16632
317	18688	16573
318	18747	16514
319	18794	16445
320	18850	16384
321	18895	16313
322	18934	16237
323	18976	16164
324	19013	16088
325	19053	16014
326	19100	15946
327	19145	15876
328	19193	15810
329	19246	15747
330	19286	15674
331	19332	15606
